ID;Name;Tempo / Midrange;Cost;Atk;health
1000;"Hipopotamusz a fürdõkádban ? ""Zsúfolt Medence""";a két szélen lévõ miniont sebzi az ellenfélnél;4;;
1001;"Tortacsata a pékségben ? ""Tortacsata""";"Minden minion (mindkét oldal) véletlenszerûen 1-3 sebzést kap — Okozz 4 sebzést egy minionnak ÉS 1-et a saját hõsödnek — a káosz ára van, de a mézborz tudja, mit csinál. (A ""nyugodt arc a tûzben"" flavor = a self-damage trade-off.)";4;;
1002;"3. Mézborz gáztechnikus ? ""Kontrollált Robbanás""";"Okozz 4 sebzést egy minionnak ÉS 1-et a saját hõsödnek — a káosz ára van, de a mézborz tudja, mit csinál. (A ""nyugodt arc a tûzben"" flavor = a self-damage trade-off.)";1;;
1003;Ments meg egy barátságos miniont: vedd vissza a kezedbe a harc közepérõl;;1;;
1004;"Elefánt a porcelánboltban ? ""Porcelánbolt""";Pusztíts el egy barátságos miniont: minden ellenséges minion sebzést kap a statjai alapján;5;;
1005;"Pelikán forgalomirányító ? ""Csúcsforgalom-stop"" (Dugó)";A következõ körben egyetlen ellenséges minion sem támadhat — a forgalom áll.;4;;
1006;"Emu villamosvezetõ ? ""A 4-6-os érkezik""";Sebzés egy oszlopban: a szemben álló minion és szomszédai 2-2 sebzést kapnak — ;2;;
1007;"Órásmester teknõs ? ""Jövõbe küldés""";Egy minion eltûnik a következõ körödig, majd visszatér — az óramutató átugrik rajta.;3;;
1008;"Kapibara jégesõben ? ""Rendíthetetlen Nyugalom""";;2;;
1009;"Borz mentõs ? ""Szirénázó Mentõ""";Gyógyíts 6-ot egy barátságos karakternek;2;;
1010;"Galamb tánccsapat ? ""Szinkron-tánc""";Minden barátságos minion statja kiegyenlítõdik az átlagukra — mindenki ugyanazt a lépést járja.;4;;
1011;"Alvó Darukezelõ""";Egy véletlenszerû minion (bárkié!) átkerül a board másik végére — a daru felkap valakit, és senki nem tudja, hova teszi le. ;1;;
1012;Egy barátságos minion +3 Támadást kap ebben a körben, ÉS a szomszédai +1-et — az áram átfolyik a vezetéken, a mellette állók is kapnak a töltésbõl. (Lánc-buff, a pozíció számít: középre tedd, akit igazán fel akarsz tölteni.);;2;;
1013;Csiga a síneken ? Az ellenfél következõ köre 1-gyel kevesebb manából indul;;1;;
;;;;;
;;;;;
;csak késõbb;;;;
1014;" Szkunk gázszivárgás-riadó ? ""Evakuáció"" Minden minion (mindkét oldal) visszakerül a gazdája kezébe — mindenki ki a házból! (Vad board-reset — ritka, drága lap.)";;7;;
;;;;;
1015;Mole-Rat Sauna Master ? a) All OTHER minions -1 Attack this turn;id_00327_016_naked_mole_rat_sauna.png;2;;
;;;;;
1016;Sea Cucumber Escape Artist ? a) Escape any negative effect;id_00330_019_sea_cucumber_escape_artist.png;;;
1017;" Sugar Glider on Swing ? a) A friendly minion gains +2/+2 and ""when this dies, return to hand""";id_00332_001_young_sugar_glider_on.png;2;;
1018; Pistol Shrimp Plumber** ? Deal 3 damage to a minion AND 1 to its neighbors;id_00282_001_pistol_shrimp_plumber_snapping.png;3;;
1019; Cassowary Inspector** ? Destroy an enemy minion with 3 or less Health;id_00283_002_cassowary_construction_inspector_kicking.png;2;;
1020;Fearless Honey Badger Baker ? Take 3 less damage from all sources this turn;id_00232_001_fearless_honey_badger_bakery;3;;
1021;Szomorú borz a megállóban ? Dobd el a kezed 1 lapját: húzz 2-t a következõ körben;id_00230_015_prompt_sad_exhausted_badger.png;1;;
;;;;;
1022;Hernyó tervez ? Húzz 2 lapot, dobj el 1-et ;id_00225_010_prompt_determined_caterpillar_wearing.png;1;;
1023;Leafcutter Ant Mover ? A friendly minion gains +4/+4 but can't attack this turn;id_00239_008_tiny_leafcutter_ant_mover.png;2;;
1024;Secretary Bird Inspector ? a) Deal 4 damage, ignoring blocks/shields;id_00288_007_secretary_bird_pest_control.png;3;;
1025;Numbat Surveyor ? a) Deal 3 damage to a damaged minion ;id_00256_015_numbat_building_surveyor_kneeling;1;;
1026;4 Electric Eel Metro (jump-start)** ? Reactivate a friendly minion that already attacked:;id_00265_004_an_electric_eel_metro.png;3;;
1027; Fossa Pickpocket** ? Steal 2 gold from the enemy;id_00293_012_fossa_pickpocket_mid_slip.png;4;;
1028;Pangolin Street Sweeper** ? Blocks ALL damage this turn but can't attack;id_00279_018_pangolin_street_sweeper_rolled.png;;;
1029;Deal 4 damage to a enemy;Gemini_Generated_Image_ (25).png;3;;
1030;Deal 6 damage to two random minion;Gemini_Generated_Image_ (23).png;3;;
1031;Leafcutter Ant Mover ? A friendly minion gains +4/+4 but can't attack this turn;id_00239_008_tiny_leafcutter_ant_mover.png;6;;
1032;Mantis Shrimp Electrician ? a) Look at 3 cards from your deck, draw 1. b) Reveal the enemy's hand this turn.;id_00246_005_mantis_shrimp_metro_electrician.png;2;;
;;;;;
1033;Archerfish Street Cleaner ? a) Deal 3 damage to any target;vid_00251_010_an_archerfish_street_cleaner.png;2;;
;;;;;
1034;Deal 6 damage to enemy;id_00267_006_babirusa_market_vendor_charging.png;5;;
1035;*005 Wolverine Repo Man** ? Take control of an enemy minion with 4 or less Attack this turn (drags it over).;id_00266_005_wolverine_repo_man_single.png;5;;
1036;Sloth Pigeon-Feeder** ? Summon 4 1/1 Pigeons;id_00281_020_sloth_pigeon_feeder_buried.png;3;;
1037;Aye-aye Safecracker** ? Look at the enemy's hand and copy 1 card from it (cracks the vault).;id_00289_008_an_aye_aye_safecracker.png;2;;
